Barcode,Barcode_Prefix,Barcode_Postfix,Barcode_Postfix_Diff
A0006923635,A,0006923635,282
A0006925754,A,0006925754,264
A0006926018,A,0006926018,264
A0006930515,A,0006930515,190
A0006930705,A,0006930705,190
A0006931299,A,0006931299,24
A0006931323,A,0006931323,24
A0006931455,A,0006931455,132
A0006932313,A,0006932313,858
A0006933550,A,0006933550,1066
A0006934616,A,0006934616,1066
A0006937130,A,0006937130,1867
A0006938997,A,0006938997,1867
A0006944193,A,0006944193,1171
A0006945364,A,0006945364,16
A0006945380,A,0006945380,16
A0006945398,A,0006945398,18
A0006945430,A,0006945430,32
A0006945620,A,0006945620,190
A0006945992,A,0006945992,65
A0006946057,A,0006946057,65
A0006946255,A,0006946255,198
A0006946537,A,0006946537,239
A0006946776,A,0006946776,190
A0006946966,A,0006946966,190
A0006947261,A,0006947261,295
A0006947808,A,0006947808,547
A0006951776,A,0006951776,3085
A0006954861,A,0006954861,3085
A0006958607,A,0006958607,3746
A0006963227,A,0006963227,1971
A0006965198,A,0006965198,578
A0006965776,A,0006965776,578
A0006968051,A,0006968051,414
A0006968465,A,0006968465,99
A0006968564,A,0006968564,99
A0006974497,A,0006974497,1896
A0006976393,A,0006976393,75
A0006976468,A,0006976468,75
A0006984264,A,0006984264,2534
A0006986798,A,0006986798,683
A0006987481,A,0006987481,683
A0006989248,A,0006989248,1767
A0006994362,A,0006994362,1197
A0006995559,A,0006995559,1197
A0007004997,A,0007004997,856
A0007005853,A,0007005853,856
A0007006844,A,0007006844,609
A0007007453,A,0007007453,513
A0007007966,A,0007007966,513
A0007014921,A,0007014921,179
A0007015100,A,0007015100,179
A0007016306,A,0007016306,544
A0007016850,A,0007016850,544
A0007017882,A,0007017882,1032
A0007022262,A,0007022262,1874
A0007024136,A,0007024136,65
A0007024201,A,0007024201,34
A0007024235,A,0007024235,34
A0007024771,A,0007024771,536
A0007025984,A,0007025984,1213
A0007029044,A,0007029044,669
A0007029713,A,0007029713,669
A0007032030,A,0007032030,637
A0007032667,A,0007032667,637
A0007033954,A,0007033954,1287
A0007035959,A,0007035959,24
A0007035983,A,0007035983,24
A0007039712,A,0007039712,1592
A0007041304,A,0007041304,182
A0007041486,A,0007041486,182
A0007043391,A,0007043391,50
A0007043441,A,0007043441,50
A0007043599,A,0007043599,158
A0007044829,A,0007044829,468
A0007045297,A,0007045297,468
A0007047780,A,0007047780,2483
A0007055510,A,0007055510,6123
A0007061633,A,0007061633,107
A0007061740,A,0007061740,33
A0007061773,A,0007061773,33
A0007062102,A,0007062102,329
A0007062441,A,0007062441,339
A0007063787,A,0007063787,1089
A0007064876,A,0007064876,263
A0007065139,A,0007065139,263
A0007068380,A,0007068380,141
A0007068521,A,0007068521,141
A0007068737,A,0007068737,216
A0007069685,A,0007069685,948
A0007072069,A,0007072069,2384
A0007074776,A,0007074776,724
A0007075500,A,0007075500,724
A0007076326,A,0007076326,404
A0007076730,A,0007076730,404
A0007082118,A,0007082118,107
A0007082225,A,0007082225,107
A0007083710,A,0007083710,1198
A0007084908,A,0007084908,302
A0007085210,A,0007085210,302
A0007086986,A,0007086986,1776
A0007090103,A,0007090103,297
A0007090400,A,0007090400,297
A0007090764,A,0007090764,232
A0007090996,A,0007090996,232
A0007091648,A,0007091648,542
A0007092190,A,0007092190,117
A0007092307,A,0007092307,117
A0007096340,A,0007096340,330
A0007096670,A,0007096670,175
A0007096845,A,0007096845,175
A0007098957,A,0007098957,1929
A0007100886,A,0007100886,1262
A0007102148,A,0007102148,552
A0007102700,A,0007102700,552
A0007114275,A,0007114275,157
A0007114432,A,0007114432,157
A0007115561,A,0007115561,422
A0007115983,A,0007115983,422
A0007117922,A,0007117922,1212
A0007119134,A,0007119134,83
A0007119217,A,0007119217,83
A0007119738,A,0007119738,247
A0007119985,A,0007119985,247
A0007120660,A,0007120660,125
A0007120785,A,0007120785,125
A0007125214,A,0007125214,1881
A0007127095,A,0007127095,1881
A0007130909,A,0007130909,3331
A0007134240,A,0007134240,109
A0007134349,A,0007134349,109
A0007134794,A,0007134794,99
A0007134893,A,0007134893,99
A0007135908,A,0007135908,16
A0007135924,A,0007135924,16
A0007136732,A,0007136732,643
A0007137375,A,0007137375,190
A0007137565,A,0007137565,190
A0007138019,A,0007138019,313
A0007138332,A,0007138332,313
A0007141609,A,0007141609,2970
A0007144579,A,0007144579,568
A0007145147,A,0007145147,544
A0007145691,A,0007145691,544
A0007147077,A,0007147077,1386
A0007150147,A,0007150147,1651
A0007151798,A,0007151798,1651
A0007155872,A,0007155872,42
A0007155914,A,0007155914,42
A0007156680,A,0007156680,766
A0007158926,A,0007158926,2246
A0007161862,A,0007161862,2936
A0007165566,A,0007165566,396
A0007165962,A,0007165962,256
A0007166218,A,0007166218,256
A0007167810,A,0007167810,198
A0007168008,A,0007168008,198
A0007168461,A,0007168461,453
A0007173156,A,0007173156,430
A0007173586,A,0007173586,149
A0007173735,A,0007173735,149
A0007177611,A,0007177611,323
A0007177934,A,0007177934,323
A0007179005,A,0007179005,471
A0007179476,A,0007179476,471
A0007180706,A,0007180706,998
A0007181704,A,0007181704,91
A0007181795,A,0007181795,91
A0007182561,A,0007182561,68
A0007182629,A,0007182629,68
A0007185937,A,0007185937,3308
A0007202062,A,0007202062,472
A0007202534,A,0007202534,472
A0007207509,A,0007207509,634
A0007208143,A,0007208143,231
A0007208374,A,0007208374,231
A0007210479,A,0007210479,535
A0007211014,A,0007211014,535
A0007211832,A,0007211832,818
A0007214224,A,0007214224,1278
A0007215502,A,0007215502,1278
A0007218290,A,0007218290,2788
A0007226376,A,0007226376,1782
A0007228158,A,0007228158,32
A0007228190,A,0007228190,32
A0007228224,A,0007228224,34
A0007228919,A,0007228919,97
A0007229016,A,0007229016,97
A0007229164,A,0007229164,34
A0007229198,A,0007229198,34
A0007230089,A,0007230089,891
A0007236318,A,0007236318,6229
A0007243488,A,0007243488,1805
A0007245293,A,0007245293,1805
A0007247356,A,0007247356,1288
A0007248644,A,0007248644,1271
A0007249915,A,0007249915,1271
A0007266240,A,0007266240,2287
A0007268527,A,0007268527,2287
A0007278054,A,0007278054,2692
A0007280746,A,0007280746,205
A0007280951,A,0007280951,205
A0007296114,A,0007296114,12539
A0007308653,A,0007308653,42
A0007308695,A,0007308695,42
A0007309842,A,0007309842,1147
A0007311459,A,0007311459,1617
A0007313737,A,0007313737,998
A0007314735,A,0007314735,998
A0007319270,A,0007319270,208
A0007319478,A,0007319478,208
A0007320542,A,0007320542,1064
A0007325616,A,0007325616,4875
A0007330491,A,0007330491,4875
A0007339021,A,0007339021,2889
A0007341910,A,0007341910,59
A0007341969,A,0007341969,59
A0007342769,A,0007342769,58
A0007342827,A,0007342827,58
A0007342900,A,0007342900,59
A0007342959,A,0007342959,56
A0007343015,A,0007343015,56
A0007343783,A,0007343783,198
A0007343981,A,0007343981,198
A0007349004,A,0007349004,2790
A0007351794,A,0007351794,2790
A0007358872,A,0007358872,503
A0007359375,A,0007359375,503
A0007365166,A,0007365166,1618
A0007366784,A,0007366784,1618
A0007368632,A,0007368632,83
A0007368715,A,0007368715,49
A0007368764,A,0007368764,49
A0007369416,A,0007369416,65
A0007369481,A,0007369481,65
A0007370372,A,0007370372,891
A0007372741,A,0007372741,17
A0007372758,A,0007372758,17
A0007373483,A,0007373483,725
A0007377617,A,0007377617,1418
A0007379035,A,0007379035,206
A0007379241,A,0007379241,206
A0007381551,A,0007381551,34
A0007381585,A,0007381585,34
A0007384357,A,0007384357,2772
A0007396591,A,0007396591,685
A0007397276,A,0007397276,685
A0007398613,A,0007398613,750
A0007399363,A,0007399363,750
A0007401037,A,0007401037,1122
A0007402159,A,0007402159,1122
A0007409303,A,0007409303,281
A0007409584,A,0007409584,281
A0007409949,A,0007409949,365
A0007410400,A,0007410400,451
A0007412091,A,0007412091,174
A0007412265,A,0007412265,174
A0007413164,A,0007413164,711
A0007413875,A,0007413875,711
A0007417132,A,0007417132,1328
A0007418460,A,0007418460,850
A0007419310,A,0007419310,850
A0007423064,A,0007423064,50
A0007423114,A,0007423114,50
A0007424708,A,0007424708,1594
A0007429335,A,0007429335,627
A0007429962,A,0007429962,329
A0007430291,A,0007430291,329
A0007432693,A,0007432693,321
A0007433014,A,0007433014,49
A0007433063,A,0007433063,8
A0007433071,A,0007433071,8
A0007433410,A,0007433410,299
A0007433709,A,0007433709,247
A0007433956,A,0007433956,196
A0007434152,A,0007434152,117
A0007434269,A,0007434269,117
A0007434822,A,0007434822,553
A0007436934,A,0007436934,354
A0007437288,A,0007437288,91
A0007437379,A,0007437379,91
A0007437684,A,0007437684,16
A0007437700,A,0007437700,16
A0007437874,A,0007437874,50
A0007437924,A,0007437924,50
A0007438161,A,0007438161,237
A0007438427,A,0007438427,99
A0007438526,A,0007438526,99
A0007439045,A,0007439045,519
A0007443682,A,0007443682,610
A0007444292,A,0007444292,323
A0007444615,A,0007444615,323
A0007447527,A,0007447527,2029
A0007449556,A,0007449556,957
A0007450513,A,0007450513,957
A0007454382,A,0007454382,479
A0007454861,A,0007454861,370
A0007455231,A,0007455231,370
A0007459449,A,0007459449,1419
A0007460868,A,0007460868,1419
A0007465750,A,0007465750,298
A0007466048,A,0007466048,298
A0007467632,A,0007467632,1584
A0007469521,A,0007469521,1889
A0007473424,A,0007473424,925
A0007474349,A,0007474349,122
A0007474471,A,0007474471,26
A0007474497,A,0007474497,26
A0007475106,A,0007475106,609
A0007478712,A,0007478712,3606
A0007489768,A,0007489768,149
A0007489917,A,0007489917,149
A0007494370,A,0007494370,4453
A0007501968,A,0007501968,519
A0007502487,A,0007502487,519
A0007504095,A,0007504095,955
A0007505050,A,0007505050,955
A0007516677,A,0007516677,123
A0007516800,A,0007516800,123
A0007525819,A,0007525819,709
A0007526528,A,0007526528,709
A0007531098,A,0007531098,1055
A0007532153,A,0007532153,563
A0007532716,A,0007532716,563
A0007542210,A,0007542210,8185
A0007550395,A,0007550395,8185
A0007559537,A,0007559537,4726
A0007564263,A,0007564263,1263
A0007565526,A,0007565526,1263
A0007567423,A,0007567423,1897
A0007572027,A,0007572027,2715
A0007574742,A,0007574742,337
A0007575079,A,0007575079,337
A0007577299,A,0007577299,1238
A0007578537,A,0007578537,372
A0007578909,A,0007578909,372
A0007582372,A,0007582372,8
A0007582380,A,0007582380,8
A0007586191,A,0007586191,3811
A0007631096,A,0007631096,3491
A0007634587,A,0007634587,2962
A0007637549,A,0007637549,57
A0007637606,A,0007637606,57
A0007646631,A,0007646631,25
A0007646656,A,0007646656,25
A0007648181,A,0007648181,1525
A0007653769,A,0007653769,2282
A0007656051,A,0007656051,795
A0007656846,A,0007656846,795
A0007662554,A,0007662554,2548
A0007665102,A,0007665102,414
A0007665516,A,0007665516,414
A0007678824,A,0007678824,519
A0007679343,A,0007679343,519
A0007683063,A,0007683063,1446
A0007684509,A,0007684509,1446
A0007692437,A,0007692437,495
A0007692932,A,0007692932,495
A0007729999,A,0007729999,2044
A0007732043,A,0007732043,2044
A0007747033,A,0007747033,437
A0007747470,A,0007747470,117
A0007747587,A,0007747587,117
A0007757800,A,0007757800,214
A0007758014,A,0007758014,214
A0007758394,A,0007758394,380
A0007762255,A,0007762255,2080
A0007764335,A,0007764335,2080
A0007768559,A,0007768559,4109
A0007772668,A,0007772668,470
A0007773138,A,0007773138,41
A0007773179,A,0007773179,41
A0007773658,A,0007773658,479
A0007774425,A,0007774425,767
A0007790702,A,0007790702,4051
A0007794753,A,0007794753,2772
A0007797525,A,0007797525,2772
A0007801962,A,0007801962,4148
A0007806110,A,0007806110,2303
A0007808413,A,0007808413,875
A0007809288,A,0007809288,875
A0007811052,A,0007811052,1764
A0007814387,A,0007814387,73
A0007814460,A,0007814460,73
A0007814791,A,0007814791,331
A0007816622,A,0007816622,643
A0007817265,A,0007817265,58
A0007817323,A,0007817323,33
A0007817356,A,0007817356,24
A0007817380,A,0007817380,24
A0007818933,A,0007818933,33
A0007818966,A,0007818966,33
A0007820160,A,0007820160,1194
A0007822588,A,0007822588,2428
A0007830177,A,0007830177,3473
A0007833650,A,0007833650,1500
A0007835150,A,0007835150,1500
A0007841257,A,0007841257,1535
A0007842792,A,0007842792,412
A0007843204,A,0007843204,412
A0007846504,A,0007846504,3300
A0007857717,A,0007857717,3637
A0007861354,A,0007861354,2830
A0007864184,A,0007864184,2078
A0007866262,A,0007866262,339
A0007866601,A,0007866601,339
A0007878937,A,0007878937,9379
A0007888316,A,0007888316,6675
A0007894991,A,0007894991,6159
A0007901150,A,0007901150,6159
A0007907520,A,0007907520,26
A0007907546,A,0007907546,26
A0007907702,A,0007907702,156
A0007907942,A,0007907942,65
A0007908007,A,0007908007,65
A0007911191,A,0007911191,547
A0007911738,A,0007911738,547
A0007913957,A,0007913957,535
A0007914492,A,0007914492,315
A0007914807,A,0007914807,315
A0007930233,A,0007930233,12195
A0007942428,A,0007942428,7508
A0007949936,A,0007949936,2202
A0007952138,A,0007952138,2202
A0007959505,A,0007959505,5445
A0007964950,A,0007964950,5445
A0007971989,A,0007971989,7039
A0007987019,A,0007987019,15030
A0008009052,A,0008009052,927
A0008009979,A,0008009979,927
A0008021701,A,0008021701,9314
A0008031015,A,0008031015,99
A0008031114,A,0008031114,99
A0008031395,A,0008031395,182
A0008031577,A,0008031577,182
A0008033474,A,0008033474,99
A0008033573,A,0008033573,99
A0008048258,A,0008048258,1090
A0008049348,A,0008049348,1090
A0008051336,A,0008051336,140
A0008051476,A,0008051476,140
A0008056434,A,0008056434,808
A0008057242,A,0008057242,808
A0008065609,A,0008065609,3283
A0008068892,A,0008068892,867
A0008069759,A,0008069759,867
A0008072431,A,0008072431,1297
A0008073728,A,0008073728,592
A0008074320,A,0008074320,67
A0008074387,A,0008074387,67
A0008074551,A,0008074551,34
A0008074585,A,0008074585,34
A0008076788,A,0008076788,1947
A0008078735,A,0008078735,1947
A0008084550,A,0008084550,5815
A0008091563,A,0008091563,406
A0008091969,A,0008091969,72
A0008092041,A,0008092041,49
A0008092090,A,0008092090,49
A0008092470,A,0008092470,91
A0008092561,A,0008092561,91
A0008093866,A,0008093866,1227
A0008095093,A,0008095093,297
A0008095390,A,0008095390,297
A0008095788,A,0008095788,398
A0008097065,A,0008097065,1277
A0008107773,A,0008107773,1410
A0008109183,A,0008109183,1410
A0008110892,A,0008110892,412
A0008111304,A,0008111304,339
A0008111643,A,0008111643,75
A0008111718,A,0008111718,75
A0008111817,A,0008111817,24
A0008111841,A,0008111841,24
A0008112310,A,0008112310,208
A0008112518,A,0008112518,208
A0008112773,A,0008112773,255
A0008115776,A,0008115776,230
A0008116006,A,0008116006,230
A0008118192,A,0008118192,2186
A0008121618,A,0008121618,239
A0008121857,A,0008121857,239
A0008122160,A,0008122160,303
A0008126047,A,0008126047,140
A0008126187,A,0008126187,140
A0008126666,A,0008126666,479
A0008129934,A,0008129934,3268
A0008137390,A,0008137390,471
A0008137861,A,0008137861,68
A0008137929,A,0008137929,16
A0008137945,A,0008137945,16
A0008138232,A,0008138232,287
A0008139172,A,0008139172,940
A0008141988,A,0008141988,279
A0008142267,A,0008142267,279
A0008143893,A,0008143893,1626
A0008148967,A,0008148967,535
A0008149502,A,0008149502,26
A0008149528,A,0008149528,26
A0008151193,A,0008151193,289
A0008151482,A,0008151482,289
A0008152431,A,0008152431,562
A0008152993,A,0008152993,32
A0008153025,A,0008153025,32
A0008153843,A,0008153843,818
A0008156028,A,0008156028,1196
A0008157224,A,0008157224,1196
A0008159105,A,0008159105,422
A0008159527,A,0008159527,422
A0008160210,A,0008160210,109
A0008160319,A,0008160319,109
A0008165086,A,0008165086,214
A0008165300,A,0008165300,214
A0008165557,A,0008165557,257
A0008165888,A,0008165888,246
A0008166134,A,0008166134,107
A0008166241,A,0008166241,25
A0008166266,A,0008166266,16
A0008166282,A,0008166282,16
A0008166381,A,0008166381,99
A0008167397,A,0008167397,1016
A0008168700,A,0008168700,321
A0008169021,A,0008169021,99
A0008169120,A,0008169120,99
A0008176778,A,0008176778,675
A0008177453,A,0008177453,675
A0008178634,A,0008178634,41
A0008178675,A,0008178675,41
A0008178865,A,0008178865,8
A0008178873,A,0008178873,8
A0008182636,A,0008182636,435
A0008183071,A,0008183071,435
A0008183782,A,0008183782,711
A0008189128,A,0008189128,1849
A0008190977,A,0008190977,40
A0008191017,A,0008191017,40
A0008191348,A,0008191348,312
A0008191660,A,0008191660,312
A0008192601,A,0008192601,941
A0008195505,A,0008195505,2904
A0008199408,A,0008199408,3903
A0008203556,A,0008203556,933
A0008204489,A,0008204489,914
A0008205403,A,0008205403,372
A0008205775,A,0008205775,372
A0008207300,A,0008207300,1525
A0008216319,A,0008216319,7235
A0008223554,A,0008223554,998
A0008224552,A,0008224552,191
A0008224743,A,0008224743,191
A0008225062,A,0008225062,319
A0008228330,A,0008228330,2170
A0008230500,A,0008230500,75
A0008230575,A,0008230575,75
A0008230799,A,0008230799,224
A0008237216,A,0008237216,1412
A0008238628,A,0008238628,1412
A0008242323,A,0008242323,2517
A0008244840,A,0008244840,1195
A0008246035,A,0008246035,471
A0008246506,A,0008246506,8
A0008246514,A,0008246514,8
A0008246704,A,0008246704,190
A0008249815,A,0008249815,99
A0008249914,A,0008249914,99
A0008263816,A,0008263816,5575
A0008269391,A,0008269391,2269
A0008271660,A,0008271660,26
A0008271686,A,0008271686,26
A0008272056,A,0008272056,370
A0008272452,A,0008272452,396
A0008273823,A,0008273823,1371
A0008275547,A,0008275547,164
A0008275711,A,0008275711,164
A0008288300,A,0008288300,414
A0008288714,A,0008288714,414
A0008296170,A,0008296170,68
A0008296238,A,0008296238,68
A0008296568,A,0008296568,330
A0008297178,A,0008297178,521
A0008297699,A,0008297699,521
A0008300840,A,0008300840,528
A0008301368,A,0008301368,528
A0008303265,A,0008303265,1897
A0008305310,A,0008305310,257
A0008305567,A,0008305567,256
A0008305823,A,0008305823,256
A0008306250,A,0008306250,427
A0008307670,A,0008307670,1420
A0008316200,A,0008316200,117
A0008316317,A,0008316317,117
A0008316820,A,0008316820,313
A0008317133,A,0008317133,313
A0008318875,A,0008318875,1742
A0008320673,A,0008320673,190
A0008320863,A,0008320863,190
A0008329419,A,0008329419,156
A0008329575,A,0008329575,156
A0008338931,A,0008338931,9356
A0008397408,A,0008397408,2475
A0008399883,A,0008399883,1038
A0008400921,A,0008400921,1038
A0008405144,A,0008405144,924
A0008406068,A,0008406068,141
A0008406209,A,0008406209,141
A0008417552,A,0008417552,6501
A0008424053,A,0008424053,6501
A0008435653,A,0008435653,3070
A0008438723,A,0008438723,3070
A0008444390,A,0008444390,109
A0008444499,A,0008444499,109
A0008447930,A,0008447930,3431
A0008452658,A,0008452658,1600
A0008454258,A,0008454258,1600
A0008458473,A,0008458473,42
A0008458515,A,0008458515,42
A0008470817,A,0008470817,4543
A0008475360,A,0008475360,4440
A0008479800,A,0008479800,2392
A0008482192,A,0008482192,2392
A0008492423,A,0008492423,4660
A0008497083,A,0008497083,2460
A0008499543,A,0008499543,2460
A0008505778,A,0008505778,6235
A0008515405,A,0008515405,9627
A0008529588,A,0008529588,115
A0008529703,A,0008529703,115
A0008531709,A,0008531709,2006
A0008543191,A,0008543191,406
A0008543597,A,0008543597,406
A0008544033,A,0008544033,75
A0008544108,A,0008544108,75
A0008548786,A,0008548786,933
A0008549719,A,0008549719,933
A0008552556,A,0008552556,2837
A0008557100,A,0008557100,4544
A0008570640,A,0008570640,3194
A0008573834,A,0008573834,1508
A0008575342,A,0008575342,1508
A0008581811,A,0008581811,362
A0008582173,A,0008582173,362
A0008582777,A,0008582777,543
A0008583320,A,0008583320,543
A0008592685,A,0008592685,9365
A0008607947,A,0008607947,8240
A0008616187,A,0008616187,8240
A0008625402,A,0008625402,232
A0008625634,A,0008625634,232
A0008625907,A,0008625907,273
A0008641011,A,0008641011,5736
A0008646747,A,0008646747,5205
A0008651952,A,0008651952,48
A0008652000,A,0008652000,42
A0008652042,A,0008652042,42
A0008657256,A,0008657256,191
A0008657447,A,0008657447,191
A0008658734,A,0008658734,174
A0008658908,A,0008658908,91
A0008658999,A,0008658999,91
A0008661399,A,0008661399,2400
A0008665192,A,0008665192,133
A0008665325,A,0008665325,133
A0008670986,A,0008670986,5484
A0008676470,A,0008676470,2163
A0008678633,A,0008678633,511
A0008679144,A,0008679144,511
A0008681876,A,0008681876,1361
A0008683237,A,0008683237,1361
A0008688400,A,0008688400,2477
A0008690877,A,0008690877,1666
A0008692543,A,0008692543,83
A0008692626,A,0008692626,83
A0008692758,A,0008692758,132
A0008693202,A,0008693202,42
A0008693244,A,0008693244,42
A0008693640,A,0008693640,174
A0008693814,A,0008693814,174
A0008694267,A,0008694267,453
A0008694986,A,0008694986,719
A0008704645,A,0008704645,7886
A0008712531,A,0008712531,372
A0008712903,A,0008712903,75
A0008712978,A,0008712978,75
A0008716540,A,0008716540,41
A0008716581,A,0008716581,41
A0008717068,A,0008717068,487
A0008732109,A,0008732109,12242
A0008744351,A,0008744351,26
A0008744377,A,0008744377,26
A0008754137,A,0008754137,396
A0008754533,A,0008754533,396
A0008766693,A,0008766693,808
A0008767501,A,0008767501,808
A0008774481,A,0008774481,6980
A0008783888,A,0008783888,16
A0008783904,A,0008783904,16
A0008783946,A,0008783946,7
A0008783953,A,0008783953,7
A0008789836,A,0008789836,394
A0008790230,A,0008790230,394
A0008794844,A,0008794844,4614
A0008799645,A,0008799645,1722
A0008801367,A,0008801367,1064
A0008802431,A,0008802431,1064
A0008812430,A,0008812430,33
A0008812463,A,0008812463,33
A0008812760,A,0008812760,297
A0008813586,A,0008813586,16
A0008813602,A,0008813602,16
A0008814055,A,0008814055,453
A0008814626,A,0008814626,571
A0008818494,A,0008818494,3515
A0008822009,A,0008822009,3515
A0008826299,A,0008826299,4290
A0008835530,A,0008835530,9231
A0008845596,A,0008845596,240
A0008845836,A,0008845836,240
A0008846198,A,0008846198,362
A0008847287,A,0008847287,1089
A0008871477,A,0008871477,3036
A0008874513,A,0008874513,3036
A0008879546,A,0008879546,5033
A0008895757,A,0008895757,2301
A0008898058,A,0008898058,1295
A0008899353,A,0008899353,1295
A0008901589,A,0008901589,198
A0008901787,A,0008901787,198
A0008916728,A,0008916728,2235
A0008918963,A,0008918963,2235
A0008928905,A,0008928905,3125
A0008932030,A,0008932030,2188
A0008934218,A,0008934218,2188
A0008942054,A,0008942054,1139
A0008943193,A,0008943193,406
A0008943599,A,0008943599,406
A0008948135,A,0008948135,281
A0008948416,A,0008948416,281
A0008949083,A,0008949083,667
A0008959298,A,0008959298,594
A0008959892,A,0008959892,594
A0008962706,A,0008962706,2814
A0008969214,A,0008969214,3309
A0008972523,A,0008972523,3309
A0008978207,A,0008978207,1105
A0008979312,A,0008979312,1105
A0008988438,A,0008988438,49
A0008988487,A,0008988487,42
A0008988529,A,0008988529,42
A0008994709,A,0008994709,6180
A0009008996,A,0009008996,4255
A0009013251,A,0009013251,4255
A0009019837,A,0009019837,15
A0009019852,A,0009019852,15
A0009020561,A,0009020561,709
A0009023334,A,0009023334,1138
A0009024472,A,0009024472,1138
A0009052812,A,0009052812,2722
A0009055534,A,0009055534,808
A0009056342,A,0009056342,808
A0009057191,A,0009057191,849
A0009061144,A,0009061144,182
A0009061326,A,0009061326,182
A0009061995,A,0009061995,412
A0009062407,A,0009062407,412
A0009063066,A,0009063066,659
A0009065400,A,0009065400,1362
A0009066762,A,0009066762,1362
A0009068982,A,0009068982,123
A0009069105,A,0009069105,123
A0009069246,A,0009069246,141
A0009069881,A,0009069881,635
A0009071853,A,0009071853,272
A0009072125,A,0009072125,272
A0009083981,A,0009083981,123
A0009084104,A,0009084104,123
A0009084377,A,0009084377,240
A0009084617,A,0009084617,156
A0009084773,A,0009084773,156
A0009085895,A,0009085895,511
A0009086406,A,0009086406,511
A0009087206,A,0009087206,800
A0009088279,A,0009088279,1073
A0009092776,A,0009092776,1574
A0009094350,A,0009094350,1574
A0009096744,A,0009096744,83
A0009096827,A,0009096827,83
A0009096926,A,0009096926,99
A0009102542,A,0009102542,273
A0009102815,A,0009102815,273
A0009107491,A,0009107491,463
A0009107954,A,0009107954,42
A0009107996,A,0009107996,42
A0009109109,A,0009109109,1113
A0009110743,A,0009110743,328
A0009111071,A,0009111071,274
A0009111345,A,0009111345,190
A0009111535,A,0009111535,190
A0009112194,A,0009112194,198
A0009112392,A,0009112392,198
A0009115338,A,0009115338,65
A0009115403,A,0009115403,65
A0009116997,A,0009116997,81
A0009117078,A,0009117078,81
A0009117508,A,0009117508,198
A0009117706,A,0009117706,198
A0009118639,A,0009118639,933
A0009119652,A,0009119652,537
A0009120189,A,0009120189,537
A0009124140,A,0009124140,1205
A0009125345,A,0009125345,132
A0009125477,A,0009125477,132
A0009127150,A,0009127150,1470
A0009128620,A,0009128620,18
A0009128638,A,0009128638,18
A0009130238,A,0009130238,1138
A0009131376,A,0009131376,1138
A0009143579,A,0009143579,8
A0009143587,A,0009143587,8
A0009145210,A,0009145210,1623
A0009147661,A,0009147661,99
A0009147760,A,0009147760,99
A0009148545,A,0009148545,785
A0009150764,A,0009150764,2219
A0009156712,A,0009156712,1691
A0009158403,A,0009158403,1097
A0009159500,A,0009159500,1097
A0009160607,A,0009160607,1107
A0009162900,A,0009162900,2293
A0009174251,A,0009174251,1205
A0009175456,A,0009175456,1205
A0009183294,A,0009183294,7838
A0009192063,A,0009192063,42
A0009192105,A,0009192105,42
A0009208901,A,0009208901,4719
A0009213620,A,0009213620,3670
A0009217290,A,0009217290,3670
A0009241522,A,0009241522,8943
A0009250465,A,0009250465,8943
A0009261041,A,0009261041,10576
A0009275918,A,0009275918,14877
A0009298340,A,0009298340,6328
A0009304668,A,0009304668,3225
A0009307893,A,0009307893,3225
A0009321274,A,0009321274,604
A0009321878,A,0009321878,604
A0009324005,A,0009324005,2127
A0009328782,A,0009328782,3137
A0009331919,A,0009331919,940
A0009332859,A,0009332859,940
A0009338393,A,0009338393,5534
A0009351966,A,0009351966,503
A0009352469,A,0009352469,503
A0009353194,A,0009353194,42
A0009353236,A,0009353236,42
A0009353327,A,0009353327,91
A0009353608,A,0009353608,281
A0009353939,A,0009353939,331
A0009363151,A,0009363151,7146
A0009370297,A,0009370297,7146
A0009405846,A,0009405846,15014
A0009420860,A,0009420860,50
A0009420910,A,0009420910,50
A0009422924,A,0009422924,717
A0009423641,A,0009423641,717
A0009430653,A,0009430653,2351
A0009433004,A,0009433004,2351
A0009440967,A,0009440967,569
A0009441536,A,0009441536,388
A0009441924,A,0009441924,388
A0009446568,A,0009446568,173
A0009446741,A,0009446741,132
A0009446873,A,0009446873,132
A0009448986,A,0009448986,2113
A0009454802,A,0009454802,3803
A0009458605,A,0009458605,182
A0009458787,A,0009458787,182
A0009465170,A,0009465170,3994
A0009469164,A,0009469164,42
A0009469206,A,0009469206,42
A0009469909,A,0009469909,703
A0009475815,A,0009475815,4818
A0009480633,A,0009480633,3812
A0009484445,A,0009484445,132
A0009484577,A,0009484577,24
A0009484601,A,0009484601,24
A0009484676,A,0009484676,58
A0009484734,A,0009484734,58
A0009485236,A,0009485236,502
A0009493164,A,0009493164,99
A0009493263,A,0009493263,8
A0009493271,A,0009493271,8
A0009493412,A,0009493412,67
A0009493479,A,0009493479,67
A0009493701,A,0009493701,182
A0009493883,A,0009493883,182
A0009497587,A,0009497587,3704
A0009505355,A,0009505355,99
A0009505454,A,0009505454,42
A0009505496,A,0009505496,42
A0009509944,A,0009509944,4448
A0009516329,A,0009516329,1633
A0009517962,A,0009517962,1633
A0009531146,A,0009531146,91
A0009531237,A,0009531237,91
A0009531369,A,0009531369,74
A0009531443,A,0009531443,74
A0009532433,A,0009532433,83
A0009532516,A,0009532516,83
A0009539719,A,0009539719,1525
A0009541244,A,0009541244,1525
A0009544016,A,0009544016,206
A0009544222,A,0009544222,206
